/*************************************************************************************************************************
 *
 * Copyright © 2016 <Team_Name_Pending>. All rights reserved.
 * The contents of this medium are confidential and proprietary to <Team_Name_Pending>, 
 * and shall not be disclosed, disseminated, copied or used except as expressly 
 * authorized in writing by a <Team_Name_Pending> offical.
 *
 * **********************************************************************************************************************/

gas1,gas2,gas3,gas4,gas5
100,0,0,0,0
99,1,0,0,0
98,2,0,0,0
97,3,0,0,0
96,4,0,0,0
95,5,0,0,0
94,6,0,0,0
93,7,0,0,0
92,8,0,0,0
91,9,0,0,0
90,10,0,0,0
89,11,0,0,0
88,12,0,0,0
87,13,0,0,0
86,14,0,0,0
85,15,0,0,0
84,16,0,0,0
83,17,0,0,0
82,18,0,0,0
81,19,0,0,0
80,20,0,0,0
79,21,0,0,0
78,22,0,0,0
77,23,0,0,0
76,24,0,0,0
75,25,0,0,0
74,26,0,0,0
73,27,0,0,0
72,28,0,0,0
71,29,0,0,0
70,30,0,0,0
69,31,0,0,0
68,32,0,0,0
67,33,0,0,0
66,34,0,0,0
65,35,0,0,0
64,36,0,0,0
63,37,0,0,0
62,38,0,0,0
61,39,0,0,0
60,40,0,0,0
59,41,0,0,0
58,42,0,0,0
57,43,0,0,0
56,44,0,0,0
55,45,0,0,0
54,46,0,0,0
53,47,0,0,0
52,48,0,0,0
51,49,0,0,0
50,50,0,0,0
49,51,0,0,0
48,52,0,0,0
47,53,0,0,0
46,54,0,0,0
45,55,0,0,0
44,56,0,0,0
43,57,0,0,0
42,58,0,0,0
41,59,0,0,0
40,60,0,0,0
39,61,0,0,0
38,62,0,0,0
37,63,0,0,0
36,64,0,0,0
35,65,0,0,0
34,66,0,0,0
33,67,0,0,0
32,68,0,0,0
31,69,0,0,0
30,70,0,0,0
29,71,0,0,0
28,72,0,0,0
27,73,0,0,0
26,74,0,0,0
25,75,0,0,0
24,76,0,0,0
23,77,0,0,0
22,78,0,0,0
21,79,0,0,0
20,80,0,0,0
19,81,0,0,0
18,82,0,0,0
17,83,0,0,0
16,84,0,0,0
15,85,0,0,0
14,86,0,0,0
13,87,0,0,0
12,88,0,0,0
11,89,0,0,0
10,90,0,0,0
9,91,0,0,0
8,92,0,0,0
7,93,0,0,0
6,94,0,0,0
5,95,0,0,0
4,96,0,0,0
3,97,0,0,0
2,98,0,0,0
1,99,0,0,0
0,100,0,0,0
0,99,1,0,0
0,99,0,1,0
0,99,0,0,1
1,98,1,0,0
0,98,2,0,0
0,98,1,1,0
0,98,1,0,1
1,98,0,1,0
0,98,0,2,0
0,98,0,1,1
1,98,0,0,1
0,98,0,0,2
