Gas1,gas2,gas3,gas4,gas5
100,0,0,0,0
98,2,0,0,0
96,4,0,0,0
94,6,0,0,0
92,8,0,0,0
90,10,0,0,0
88,12,0,0,0
86,14,0,0,0
84,16,0,0,0
82,18,0,0,0
80,20,0,0,0
78,22,0,0,0
76,24,0,0,0
74,26,0,0,0
72,28,0,0,0
70,30,0,0,0
68,32,0,0,0
66,34,0,0,0
64,36,0,0,0
62,38,0,0,0
60,40,0,0,0
58,42,0,0,0
56,44,0,0,0
54,46,0,0,0
52,48,0,0,0
50,50,0,0,0
48,52,0,0,0
46,54,0,0,0
44,56,0,0,0
42,58,0,0,0
40,60,0,0,0
38,62,0,0,0
36,64,0,0,0
34,66,0,0,0
32,68,0,0,0
30,70,0,0,0
28,72,0,0,0
26,74,0,0,0
24,76,0,0,0
22,78,0,0,0
20,80,0,0,0
18,82,0,0,0
16,84,0,0,0
14,86,0,0,0
12,88,0,0,0
10,90,0,0,0
8,92,0,0,0
6,94,0,0,0
4,96,0,0,0
2,98,0,0,0
0,100,0,0,0
0,98,2,0,0
0,98,0,2,0
0,98,0,0,2
2,96,2,0,0
0,96,4,0,0
0,96,2,2,0
0,96,2,0,2
2,96,0,2,0
0,96,0,4,0
0,96,0,2,2
2,96,0,0,2
0,96,0,0,4
4,94,2,0,0
2,94,4,0,0
0,94,6,0,0
0,94,4,2,0
0,94,4,0,2
2,94,2,2,0
0,94,2,4,0
0,94,2,2,2
2,94,2,0,2
0,94,2,0,4
4,94,0,2,0
2,94,0,4,0
0,94,0,6,0
0,94,0,4,2
2,94,0,2,2
0,94,0,2,4
4,94,0,0,2
2,94,0,0,4
0,94,0,0,6
6,92,2,0,0
4,92,4,0,0
2,92,6,0,0
0,92,8,0,0
0,92,6,2,0
0,92,6,0,2
2,92,4,2,0
0,92,4,4,0
0,92,4,2,2
2,92,4,0,2
0,92,4,0,4
4,92,2,2,0
2,92,2,4,0
0,92,2,6,0
0,92,2,4,2
2,92,2,2,2
0,92,2,2,4
4,92,2,0,2
2,92,2,0,4
0,92,2,0,6
6,92,0,2,0
4,92,0,4,0
2,92,0,6,0
0,92,0,8,0
0,92,0,6,2
2,92,0,4,2
0,92,0,4,4
4,92,0,2,2
2,92,0,2,4
0,92,0,2,6
6,92,0,0,2
4,92,0,0,4
2,92,0,0,6
0,92,0,0,8
8,90,2,0,0
6,90,4,0,0
4,90,6,0,0
2,90,8,0,0
0,90,10,0,0
0,90,8,2,0
0,90,8,0,2
2,90,6,2,0
0,90,6,4,0
0,90,6,2,2
2,90,6,0,2
0,90,6,0,4
4,90,4,2,0
2,90,4,4,0
0,90,4,6,0
0,90,4,4,2
2,90,4,2,2
0,90,4,2,4
4,90,4,0,2
2,90,4,0,4
0,90,4,0,6
6,90,2,2,0
4,90,2,4,0
2,90,2,6,0
0,90,2,8,0
0,90,2,6,2
2,90,2,4,2
0,90,2,4,4
4,90,2,2,2
2,90,2,2,4
0,90,2,2,6
6,90,2,0,2
4,90,2,0,4
2,90,2,0,6
0,90,2,0,8
8,90,0,2,0
6,90,0,4,0
4,90,0,6,0
2,90,0,8,0
0,90,0,10,0
0,90,0,8,2
2,90,0,6,2
0,90,0,6,4
4,90,0,4,2
2,90,0,4,4
0,90,0,4,6
6,90,0,2,2
4,90,0,2,4
2,90,0,2,6
0,90,0,2,8
8,90,0,0,2
6,90,0,0,4
4,90,0,0,6
2,90,0,0,8
0,90,0,0,10
10,88,2,0,0
8,88,4,0,0
6,88,6,0,0
4,88,8,0,0
2,88,10,0,0
0,88,12,0,0
0,88,10,2,0
0,88,10,0,2
2,88,8,2,0
0,88,8,4,0
0,88,8,2,2
2,88,8,0,2
0,88,8,0,4
4,88,6,2,0
2,88,6,4,0
0,88,6,6,0
0,88,6,4,2
2,88,6,2,2
0,88,6,2,4
4,88,6,0,2
2,88,6,0,4
0,88,6,0,6
6,88,4,2,0
4,88,4,4,0
2,88,4,6,0
0,88,4,8,0
0,88,4,6,2
2,88,4,4,2
0,88,4,4,4
4,88,4,2,2
2,88,4,2,4
0,88,4,2,6
6,88,4,0,2
4,88,4,0,4
2,88,4,0,6
0,88,4,0,8
8,88,2,2,0
6,88,2,4,0
4,88,2,6,0
2,88,2,8,0
0,88,2,10,0
0,88,2,8,2
2,88,2,6,2
0,88,2,6,4
4,88,2,4,2
2,88,2,4,4
0,88,2,4,6
6,88,2,2,2
4,88,2,2,4
2,88,2,2,6
0,88,2,2,8
8,88,2,0,2
6,88,2,0,4
4,88,2,0,6
2,88,2,0,8
0,88,2,0,10
10,88,0,2,0
8,88,0,4,0
6,88,0,6,0
4,88,0,8,0
2,88,0,10,0
0,88,0,12,0
0,88,0,10,2
2,88,0,8,2
0,88,0,8,4
4,88,0,6,2
2,88,0,6,4
0,88,0,6,6
6,88,0,4,2
4,88,0,4,4
2,88,0,4,6
0,88,0,4,8
8,88,0,2,2
6,88,0,2,4
4,88,0,2,6
2,88,0,2,8
0,88,0,2,10
10,88,0,0,2
8,88,0,0,4
6,88,0,0,6
4,88,0,0,8
2,88,0,0,10
0,88,0,0,12
12,86,2,0,0
10,86,4,0,0
8,86,6,0,0
6,86,8,0,0
4,86,10,0,0
2,86,12,0,0
0,86,14,0,0
0,86,12,2,0
0,86,12,0,2
2,86,10,2,0
0,86,10,4,0
0,86,10,2,2
2,86,10,0,2
0,86,10,0,4
4,86,8,2,0
2,86,8,4,0
0,86,8,6,0
0,86,8,4,2
2,86,8,2,2
0,86,8,2,4
4,86,8,0,2
2,86,8,0,4
0,86,8,0,6
6,86,6,2,0
4,86,6,4,0
2,86,6,6,0
0,86,6,8,0
0,86,6,6,2
2,86,6,4,2
0,86,6,4,4
4,86,6,2,2
2,86,6,2,4
0,86,6,2,6
6,86,6,0,2
4,86,6,0,4
2,86,6,0,6
0,86,6,0,8
8,86,4,2,0
6,86,4,4,0
4,86,4,6,0
2,86,4,8,0
0,86,4,10,0
0,86,4,8,2
2,86,4,6,2
0,86,4,6,4
4,86,4,4,2
2,86,4,4,4
0,86,4,4,6
6,86,4,2,2
4,86,4,2,4
2,86,4,2,6
0,86,4,2,8
8,86,4,0,2
6,86,4,0,4
4,86,4,0,6
2,86,4,0,8
0,86,4,0,10
10,86,2,2,0
8,86,2,4,0
6,86,2,6,0
4,86,2,8,0
2,86,2,10,0
0,86,2,12,0
0,86,2,10,2
2,86,2,8,2
0,86,2,8,4
4,86,2,6,2
2,86,2,6,4
0,86,2,6,6
6,86,2,4,2
4,86,2,4,4
2,86,2,4,6
0,86,2,4,8
8,86,2,2,2
6,86,2,2,4
4,86,2,2,6
2,86,2,2,8
0,86,2,2,10
10,86,2,0,2
8,86,2,0,4
6,86,2,0,6
4,86,2,0,8
2,86,2,0,10
0,86,2,0,12
12,86,0,2,0
10,86,0,4,0
8,86,0,6,0
6,86,0,8,0
4,86,0,10,0
2,86,0,12,0
0,86,0,14,0
0,86,0,12,2
2,86,0,10,2
0,86,0,10,4
4,86,0,8,2
2,86,0,8,4
0,86,0,8,6
6,86,0,6,2
4,86,0,6,4
2,86,0,6,6
0,86,0,6,8
8,86,0,4,2
6,86,0,4,4
4,86,0,4,6
2,86,0,4,8
0,86,0,4,10
10,86,0,2,2
8,86,0,2,4
6,86,0,2,6
4,86,0,2,8
2,86,0,2,10
0,86,0,2,12
12,86,0,0,2
10,86,0,0,4
8,86,0,0,6
6,86,0,0,8
4,86,0,0,10
2,86,0,0,12
0,86,0,0,14
14,84,2,0,0
12,84,4,0,0
10,84,6,0,0
8,84,8,0,0
6,84,10,0,0
4,84,12,0,0
2,84,14,0,0
0,84,16,0,0
0,84,14,2,0
0,84,14,0,2
2,84,12,2,0
0,84,12,4,0
0,84,12,2,2
2,84,12,0,2
0,84,12,0,4
4,84,10,2,0
2,84,10,4,0
0,84,10,6,0
0,84,10,4,2
2,84,10,2,2
0,84,10,2,4
4,84,10,0,2
2,84,10,0,4
0,84,10,0,6
6,84,8,2,0
4,84,8,4,0
2,84,8,6,0
0,84,8,8,0
0,84,8,6,2
2,84,8,4,2
0,84,8,4,4
4,84,8,2,2
2,84,8,2,4
0,84,8,2,6
6,84,8,0,2
4,84,8,0,4
2,84,8,0,6
0,84,8,0,8
8,84,6,2,0
6,84,6,4,0
4,84,6,6,0
2,84,6,8,0
0,84,6,10,0
0,84,6,8,2
2,84,6,6,2
0,84,6,6,4
4,84,6,4,2
2,84,6,4,4
0,84,6,4,6
6,84,6,2,2
4,84,6,2,4
2,84,6,2,6
0,84,6,2,8
8,84,6,0,2
6,84,6,0,4
4,84,6,0,6
2,84,6,0,8
0,84,6,0,10
10,84,4,2,0
8,84,4,4,0
6,84,4,6,0
4,84,4,8,0
2,84,4,10,0
0,84,4,12,0
0,84,4,10,2
2,84,4,8,2
0,84,4,8,4
4,84,4,6,2
2,84,4,6,4
0,84,4,6,6
6,84,4,4,2
4,84,4,4,4
2,84,4,4,6
0,84,4,4,8
8,84,4,2,2
6,84,4,2,4
4,84,4,2,6
2,84,4,2,8
0,84,4,2,10
10,84,4,0,2
8,84,4,0,4
6,84,4,0,6
4,84,4,0,8
2,84,4,0,10
0,84,4,0,12
12,84,2,2,0
10,84,2,4,0
8,84,2,6,0
6,84,2,8,0
4,84,2,10,0
2,84,2,12,0
0,84,2,14,0
0,84,2,12,2
2,84,2,10,2
0,84,2,10,4
4,84,2,8,2
2,84,2,8,4
0,84,2,8,6
6,84,2,6,2
4,84,2,6,4
2,84,2,6,6
0,84,2,6,8
8,84,2,4,2
6,84,2,4,4
4,84,2,4,6
2,84,2,4,8
0,84,2,4,10
10,84,2,2,2
8,84,2,2,4
6,84,2,2,6
4,84,2,2,8
2,84,2,2,10
0,84,2,2,12
12,84,2,0,2
10,84,2,0,4
8,84,2,0,6
6,84,2,0,8
4,84,2,0,10
2,84,2,0,12
0,84,2,0,14
14,84,0,2,0
12,84,0,4,0
10,84,0,6,0
8,84,0,8,0
6,84,0,10,0
4,84,0,12,0
2,84,0,14,0
0,84,0,16,0
0,84,0,14,2
2,84,0,12,2
0,84,0,12,4
4,84,0,10,2
2,84,0,10,4
0,84,0,10,6
6,84,0,8,2
4,84,0,8,4
2,84,0,8,6
0,84,0,8,8
8,84,0,6,2
6,84,0,6,4
4,84,0,6,6
2,84,0,6,8
0,84,0,6,10
10,84,0,4,2
8,84,0,4,4
6,84,0,4,6
4,84,0,4,8
2,84,0,4,10
0,84,0,4,12
12,84,0,2,2
10,84,0,2,4
8,84,0,2,6
6,84,0,2,8
4,84,0,2,10
2,84,0,2,12
0,84,0,2,14
14,84,0,0,2
12,84,0,0,4
10,84,0,0,6
8,84,0,0,8
6,84,0,0,10
4,84,0,0,12
2,84,0,0,14
0,84,0,0,16
16,82,2,0,0
14,82,4,0,0
12,82,6,0,0
10,82,8,0,0
8,82,10,0,0
6,82,12,0,0
4,82,14,0,0
2,82,16,0,0
0,82,18,0,0
0,82,16,2,0
0,82,16,0,2
2,82,14,2,0
0,82,14,4,0
0,82,14,2,2
2,82,14,0,2
0,82,14,0,4
4,82,12,2,0
2,82,12,4,0
0,82,12,6,0
0,82,12,4,2
2,82,12,2,2
0,82,12,2,4
4,82,12,0,2
2,82,12,0,4
0,82,12,0,6
6,82,10,2,0
4,82,10,4,0
2,82,10,6,0
0,82,10,8,0
0,82,10,6,2
2,82,10,4,2
0,82,10,4,4
4,82,10,2,2
2,82,10,2,4
0,82,10,2,6
6,82,10,0,2
4,82,10,0,4
2,82,10,0,6
0,82,10,0,8
8,82,8,2,0
6,82,8,4,0
4,82,8,6,0
2,82,8,8,0
0,82,8,10,0
0,82,8,8,2
2,82,8,6,2
0,82,8,6,4
4,82,8,4,2
2,82,8,4,4
0,82,8,4,6
6,82,8,2,2
4,82,8,2,4
2,82,8,2,6
0,82,8,2,8
8,82,8,0,2
6,82,8,0,4
4,82,8,0,6
2,82,8,0,8
0,82,8,0,10
10,82,6,2,0
8,82,6,4,0
6,82,6,6,0
4,82,6,8,0
2,82,6,10,0
0,82,6,12,0
0,82,6,10,2
2,82,6,8,2
0,82,6,8,4
4,82,6,6,2
2,82,6,6,4
0,82,6,6,6
6,82,6,4,2
4,82,6,4,4
2,82,6,4,6
0,82,6,4,8
8,82,6,2,2
6,82,6,2,4
4,82,6,2,6
2,82,6,2,8
0,82,6,2,10
10,82,6,0,2
8,82,6,0,4
6,82,6,0,6
4,82,6,0,8
2,82,6,0,10
0,82,6,0,12
12,82,4,2,0
10,82,4,4,0
8,82,4,6,0
6,82,4,8,0
4,82,4,10,0
2,82,4,12,0
0,82,4,14,0
0,82,4,12,2
2,82,4,10,2
0,82,4,10,4
4,82,4,8,2
2,82,4,8,4
0,82,4,8,6
6,82,4,6,2
4,82,4,6,4
2,82,4,6,6
0,82,4,6,8
8,82,4,4,2
6,82,4,4,4
4,82,4,4,6
2,82,4,4,8
0,82,4,4,10
10,82,4,2,2
8,82,4,2,4
6,82,4,2,6
4,82,4,2,8
2,82,4,2,10
0,82,4,2,12
12,82,4,0,2
10,82,4,0,4
8,82,4,0,6
6,82,4,0,8
4,82,4,0,10
2,82,4,0,12
0,82,4,0,14
14,82,2,2,0
12,82,2,4,0
10,82,2,6,0
8,82,2,8,0
6,82,2,10,0
4,82,2,12,0
2,82,2,14,0
0,82,2,16,0
0,82,2,14,2
2,82,2,12,2
0,82,2,12,4
4,82,2,10,2
2,82,2,10,4
0,82,2,10,6
6,82,2,8,2
4,82,2,8,4
2,82,2,8,6
0,82,2,8,8
8,82,2,6,2
6,82,2,6,4
4,82,2,6,6
2,82,2,6,8
0,82,2,6,10
10,82,2,4,2
8,82,2,4,4
6,82,2,4,6
4,82,2,4,8
2,82,2,4,10
0,82,2,4,12
12,82,2,2,2
10,82,2,2,4
8,82,2,2,6
6,82,2,2,8
4,82,2,2,10
2,82,2,2,12
0,82,2,2,14
14,82,2,0,2
12,82,2,0,4
10,82,2,0,6
8,82,2,0,8
6,82,2,0,10
4,82,2,0,12
2,82,2,0,14
0,82,2,0,16
16,82,0,2,0
14,82,0,4,0
12,82,0,6,0
10,82,0,8,0
8,82,0,10,0
6,82,0,12,0
4,82,0,14,0
2,82,0,16,0
0,82,0,18,0
0,82,0,16,2
2,82,0,14,2
0,82,0,14,4
4,82,0,12,2
2,82,0,12,4
0,82,0,12,6
6,82,0,10,2
4,82,0,10,4
2,82,0,10,6
0,82,0,10,8
8,82,0,8,2
6,82,0,8,4
4,82,0,8,6
2,82,0,8,8
0,82,0,8,10
10,82,0,6,2
8,82,0,6,4
6,82,0,6,6
4,82,0,6,8
2,82,0,6,10
0,82,0,6,12
12,82,0,4,2
10,82,0,4,4
8,82,0,4,6
6,82,0,4,8
4,82,0,4,10
2,82,0,4,12
0,82,0,4,14
14,82,0,2,2
12,82,0,2,4
10,82,0,2,6
8,82,0,2,8
6,82,0,2,10
4,82,0,2,12
2,82,0,2,14
0,82,0,2,16
16,82,0,0,2
14,82,0,0,4
12,82,0,0,6
10,82,0,0,8
8,82,0,0,10
6,82,0,0,12
4,82,0,0,14
2,82,0,0,16
0,82,0,0,18
18,80,2,0,0
16,80,4,0,0
14,80,6,0,0
12,80,8,0,0
10,80,10,0,0
8,80,12,0,0
6,80,14,0,0
4,80,16,0,0
2,80,18,0,0
0,80,20,0,0
0,80,18,2,0
0,80,18,0,2
2,80,16,2,0
0,80,16,4,0
0,80,16,2,2
2,80,16,0,2
0,80,16,0,4
4,80,14,2,0
2,80,14,4,0
0,80,14,6,0
0,80,14,4,2
2,80,14,2,2
0,80,14,2,4
4,80,14,0,2
2,80,14,0,4
0,80,14,0,6
6,80,12,2,0
4,80,12,4,0
2,80,12,6,0
0,80,12,8,0
0,80,12,6,2
2,80,12,4,2
0,80,12,4,4
4,80,12,2,2
2,80,12,2,4
0,80,12,2,6
6,80,12,0,2
4,80,12,0,4
2,80,12,0,6
0,80,12,0,8
8,80,10,2,0
6,80,10,4,0
4,80,10,6,0
2,80,10,8,0
0,80,10,10,0
0,80,10,8,2
2,80,10,6,2
0,80,10,6,4
4,80,10,4,2
2,80,10,4,4
0,80,10,4,6
6,80,10,2,2
4,80,10,2,4
2,80,10,2,6
0,80,10,2,8
8,80,10,0,2
6,80,10,0,4
4,80,10,0,6
2,80,10,0,8
0,80,10,0,10
10,80,8,2,0
8,80,8,4,0
6,80,8,6,0
4,80,8,8,0
2,80,8,10,0
0,80,8,12,0
0,80,8,10,2
2,80,8,8,2
0,80,8,8,4
4,80,8,6,2
2,80,8,6,4
0,80,8,6,6
6,80,8,4,2
4,80,8,4,4
2,80,8,4,6
0,80,8,4,8
8,80,8,2,2
6,80,8,2,4
4,80,8,2,6
2,80,8,2,8
0,80,8,2,10
10,80,8,0,2
8,80,8,0,4
6,80,8,0,6
4,80,8,0,8
2,80,8,0,10
0,80,8,0,12
12,80,6,2,0
10,80,6,4,0
8,80,6,6,0
6,80,6,8,0
4,80,6,10,0
2,80,6,12,0
0,80,6,14,0
0,80,6,12,2
2,80,6,10,2
0,80,6,10,4
4,80,6,8,2
2,80,6,8,4
0,80,6,8,6
6,80,6,6,2
4,80,6,6,4
2,80,6,6,6
0,80,6,6,8
8,80,6,4,2
6,80,6,4,4
4,80,6,4,6
2,80,6,4,8
0,80,6,4,10
10,80,6,2,2
8,80,6,2,4
6,80,6,2,6
4,80,6,2,8
2,80,6,2,10
0,80,6,2,12
12,80,6,0,2
10,80,6,0,4
8,80,6,0,6
6,80,6,0,8
4,80,6,0,10
2,80,6,0,12
0,80,6,0,14
14,80,4,2,0
12,80,4,4,0
10,80,4,6,0
8,80,4,8,0
6,80,4,10,0
4,80,4,12,0
2,80,4,14,0
0,80,4,16,0
0,80,4,14,2
2,80,4,12,2
0,80,4,12,4
4,80,4,10,2
2,80,4,10,4
0,80,4,10,6
6,80,4,8,2
4,80,4,8,4
2,80,4,8,6
0,80,4,8,8
8,80,4,6,2
6,80,4,6,4
4,80,4,6,6
2,80,4,6,8
0,80,4,6,10
10,80,4,4,2
8,80,4,4,4
6,80,4,4,6
4,80,4,4,8
2,80,4,4,10
0,80,4,4,12
12,80,4,2,2
10,80,4,2,4
8,80,4,2,6
6,80,4,2,8
4,80,4,2,10
2,80,4,2,12
0,80,4,2,14
14,80,4,0,2
